HORA, PI0102, FC0104, FC0105, FC0108, TI0201, TC0202, TI0203, TI0204, TI0205, TI0210, TI0211, TI0212, TC0213, PI0214, PI0215, PI0216, FI0219, LC0301, PI0302, FI0446, FC0501, TC0508, PI0509, TC0510, PI0511, TC0512, TI0513, FC0619, FC0629, PI0640,,
18,100.71,1102.12,62.85,3.3,1174.95,1208.35,793.48,688.48,465.52,117.73,483.38,570.36,732.31,-19.51,-176.75,-478.65,65.48,54.82,0.11,169.54,768.11,52.71,-526.74,34.6,-549.17,3.86,-575.89,1651.85,619.99,-620.18,,
19,113.97,1099.63,62.84,3.3,1177.48,1210.76,793.76,688.09,463.75,118.07,480.06,570.29,729.36,-8.32,-168.74,-476.21,64.16,54.87,0.11,172.44,769.78,52.88,-526.28,34.92,-549.09,4.04,-576.26,1663.5,619.99,-621.53,,
20,134.6,1100.69,62.86,3.3,1186.17,1217.31,796.39,688.2,464.31,119.16,475.18,571.98,727.87,9,-155.86,-473.2,64.22,54.86,0.11,176.09,768.05,53.01,-525.49,35.67,-548.1,5.38,-575.56,1682.37,620.01,-620.43,,
21,135.47,1099.83,62.86,3.3,1186.12,1217.73,796.67,688.26,464.42,119.33,475.03,572.23,727.99,9.54,-155.76,-475.74,64.14,54.85,0.11,175.47,768.37,53,-529.02,34.14,-551.17,4.41,-578.29,1695.69,619.99,-621.67,,
22,138.24,1099.85,62.85,3.3,1188.13,1219.31,796.96,688.82,464.46,119.33,474.65,572.44,728.08,11.96,-153.87,-475.07,64.32,54.83,0.12,176.1,770.81,53,-528.59,33.92,-550.61,4.28,-578.11,1700,619.99,-621.57,,
23,132.22,1110.6,63.47,3.33,1185.14,1217.51,796.34,688.34,463.92,119.17,475.76,571.82,727.96,7.12,-157.45,-475.85,64.28,54.84,0.11,175.19,773.26,52.98,-528.71,33.95,-550.48,4.53,-577.6,1700.44,624.62,-621.3,,
0,132.26,1119.99,63.99,3.36,1186.11,1218.01,796.26,688.31,464.13,119.22,475.74,571.3,728,7.11,-157.56,-476.45,64.23,54.84,0.11,174.86,774.64,52.87,-529.71,34.39,-551.91,4.55,-578.35,1719.34,639.99,-622.54,,
1,127.31,1107.65,63.29,3.32,1185.32,1217.14,795.9,688.27,463.47,118.6,476.36,571.32,728.09,3.1,-160.64,-478.02,64.18,54.85,0.11,173.82,777.94,52.65,-530.89,33.67,-552.51,4.1,-578.86,1729.02,652.5,-622.22,,
2,123.01,1099.81,62.85,3.3,1183.76,1215.95,795.03,688.28,462.88,118.36,477.11,570.96,728,-0.47,-163.49,-479.98,63.78,54.85,0.11,172.86,774.28,52.45,-532.68,33.08,-553.92,3.77,-579.58,1731.61,663.93,-622.32,,
3,124.07,1100.41,62.85,3.3,1183.98,1216.08,795,688.3,462.51,118.38,476.93,571.13,728.06,0.5,-162.81,-479.55,62.76,54.85,0.11,173.02,775.57,52.39,-532.1,33.02,-553.07,3.61,-578.59,1774.15,700.04,-621.07,,
4,122.82,1099.89,62.83,3.3,1184.24,1215.98,794.98,688.28,461.31,118.38,476.89,570.7,728.04,-0.43,-163.63,-481.19,62.73,54.89,0.11,172.49,776.94,52.05,-534.47,33.43,-556.13,3.81,-580.79,1774.74,699.96,-623.18,,
5,109.06,1099.88,62.88,3.3,1178.52,1212.25,792.56,650.93,460.46,118.37,479.11,569.51,728.01,-11.87,-172.24,-484.5,61.92,54.88,0.11,170.63,699.27,51.51,-536.93,33.5,-558.45,3.84,-583.04,1754.5,684.95,-623.85,,
6,118.46,1099.78,62.85,3.3,1183.09,1215.4,793.42,678.28,460.45,118.58,477.78,569.71,727.65,-4.11,-166.56,-482.74,62.21,54.85,0.11,173.05,630.84,51.55,-535.98,33.71,-557.71,4,-582.83,1741.99,668.96,-623.35,,
7,124.75,1099.82,62.86,3.3,1183.25,1218.08,793.67,687.98,460.63,119.36,475.82,570.37,727.28,1.2,-162.46,-481.12,62.48,54.7,0.11,174.14,679.39,51.98,-535.05,34.02,-557.19,4.24,-582.29,1775.96,679.96,-622.99,,
8,130.78,1099.78,62.87,3.3,1183.06,1218.34,792.68,659.93,459.66,119.35,473.32,570,724.34,5.89,-159.21,-481.05,61.88,54.23,0.11,175.95,681.43,52.06,-536.21,33.32,-558.48,4.02,-583.26,1792.14,694.65,-622.8,,
9,138.25,1100.24,62.87,3.3,1183.02,1218.59,791.25,652.01,459.8,119.57,470.04,570.52,721.65,11.35,-155.4,-480.63,61,53.94,0.11,175.8,681.29,52.46,-536.65,32.72,-559.21,3.85,-586.05,1800.55,700.05,-622.61,,
10,136.16,1100.38,62.86,3.3,1179.23,1217.99,786.02,609.16,452.97,119.44,459.08,567.57,713.69,9.07,-157.53,-483.7,57.77,53.89,0.13,172.23,686.22,52.56,-541.54,32.28,-564.21,3.5,-592.05,1785.23,700.05,-625.27,,
11,114.88,1100.04,62.85,3.3,1187.22,1213.36,770.03,602.03,436.24,118.96,431.64,558.87,698.26,-9.48,-172.97,-494.56,57.61,53.91,0.13,172.61,689.48,52.71,-554.12,31.96,-576.71,3.42,-604.35,1744.29,700.06,-631.49,,
12,107.78,1097.69,62.87,3.3,1162.58,1219.5,795.34,620.65,457.49,118.42,466.23,569.03,723.57,-13.21,-172.35,-484.86,64.63,53.95,0.15,166.76,691.29,52.54,-539.01,31.94,-561.04,3.56,-590.56,1776.71,701.42,-622.4,,
13,110.88,1099.45,62.88,3.3,1163.54,1217.86,797.74,648.82,461.46,118.41,470.87,571.04,725.68,-10.67,-170.63,-484.16,64.74,53.88,0.17,164.95,689.73,52.67,-538.33,32.08,-560.68,3.49,-591.03,1776.39,701.56,-622.28,,
14,119.64,1101.95,62.85,3.17,1165.36,1218.04,796.2,640.42,459.95,118.3,466.33,571.6,721.18,-4.04,-166.41,-484.59,63.29,53.8,0.17,164.58,692.65,52.74,-540.06,32,-562.6,3.27,-593.45,1782.89,700.35,-623.54,,
15,99.82,1096.49,62.73,3.2,1166.29,1218.03,791.49,621.91,455.65,116.83,469.98,568.71,725.25,-19.89,-177.3,-485.94,64.73,53.84,0.14,166.01,697.26,52.74,-539.28,31.89,-560.9,3.45,-591.05,1754.04,700.07,-622.06,,
16,117.79,1079.55,61.71,3.2,1166.82,1217.62,791.6,621.55,454.86,117.27,465.86,568.42,719.94,-5.22,-167.46,-485,62.32,53.9,0.13,166.98,698.9,52.91,-540.88,32.19,-563.28,3.68,-592.83,1773.59,698.77,-624.87,,
17,111.11,1080.05,61.71,3.2,1180.21,1218.69,791.25,615.99,453.14,117.43,462.61,567.84,718.28,-10.71,-171.59,-487.24,60.91,53.94,0.13,164.01,700.19,52.34,-542.49,31.92,-564.55,3.63,-593.29,1759.91,699.93,-626.21,,
18,87.33,1079.85,61.7,3.2,1171.93,1217.95,785.41,603.32,450.98,116.68,466.48,565.38,720.38,-30.25,-185.67,-491.21,61.36,53.97,0.13,158.04,699.98,51.62,-544.19,31.71,-565.52,3.15,-593.05,1737.12,664.05,-626.88,,
